districts,x,y
Bo,22,-61
Bonthe,-40,-137
Bombali,-30,77
Falaba,104, 123
Kailahun,139,-64
Kenema,80,-82
Koinadugu,16,151
Kono,122,33
Kambia,-139,101
Karene,-88,90
Moyamba,-78,-52
Port Loko,-133,25
Pujehun,33,-161
Tonkolili,17,35
Western Rural,-172,-21
Western Urban,-196,1
